sample_id,ethics_subtask
pilot_0000,commonsense
pilot_0001,commonsense
pilot_0002,commonsense
pilot_0003,commonsense
pilot_0004,commonsense
pilot_0005,commonsense
pilot_0006,commonsense
pilot_0007,commonsense
pilot_0008,commonsense
pilot_0009,commonsense
pilot_0010,commonsense
pilot_0011,commonsense
pilot_0012,commonsense
pilot_0013,commonsense
pilot_0014,commonsense
pilot_0015,commonsense
pilot_0016,commonsense
pilot_0017,commonsense
pilot_0018,commonsense
pilot_0019,commonsense
pilot_0020,commonsense
pilot_0021,commonsense
pilot_0022,commonsense
pilot_0023,commonsense
pilot_0024,commonsense
pilot_0025,commonsense
pilot_0026,commonsense
pilot_0027,commonsense
pilot_0028,commonsense
pilot_0029,commonsense
pilot_0030,commonsense
pilot_0031,commonsense
pilot_0032,commonsense
pilot_0033,commonsense
pilot_0034,commonsense
pilot_0035,commonsense
pilot_0036,commonsense
pilot_0037,commonsense
pilot_0038,commonsense
pilot_0039,commonsense
pilot_0040,commonsense
pilot_0041,commonsense
pilot_0042,commonsense
pilot_0043,commonsense
pilot_0044,commonsense
pilot_0045,commonsense
pilot_0046,commonsense
pilot_0047,commonsense
pilot_0048,commonsense
pilot_0049,commonsense
pilot_0050,commonsense
pilot_0051,commonsense
pilot_0052,commonsense
pilot_0053,commonsense
pilot_0054,commonsense
pilot_0055,commonsense
pilot_0056,commonsense
pilot_0057,commonsense
pilot_0058,commonsense
pilot_0059,commonsense
pilot_0060,commonsense
pilot_0061,commonsense
pilot_0062,commonsense
pilot_0063,commonsense
pilot_0064,commonsense
pilot_0065,commonsense
pilot_0066,commonsense
pilot_0067,commonsense
pilot_0068,commonsense
pilot_0069,commonsense
pilot_0070,commonsense
pilot_0071,commonsense
pilot_0072,commonsense
pilot_0073,commonsense
pilot_0074,commonsense
pilot_0075,commonsense
pilot_0076,commonsense
pilot_0077,commonsense
pilot_0078,commonsense
pilot_0079,commonsense
pilot_0080,commonsense
pilot_0081,commonsense
pilot_0082,commonsense
pilot_0083,commonsense
pilot_0084,commonsense
pilot_0085,commonsense
pilot_0086,commonsense
pilot_0087,commonsense
pilot_0088,commonsense
pilot_0089,commonsense
pilot_0090,commonsense
pilot_0091,commonsense
pilot_0092,commonsense
pilot_0093,commonsense
pilot_0094,commonsense
pilot_0095,commonsense
pilot_0096,commonsense
pilot_0097,commonsense
pilot_0098,commonsense
pilot_0099,commonsense
pilot_0100,deontology
pilot_0101,deontology
pilot_0102,deontology
pilot_0103,deontology
pilot_0104,deontology
pilot_0105,deontology
pilot_0106,deontology
pilot_0107,deontology
pilot_0108,deontology
pilot_0109,deontology
pilot_0110,deontology
pilot_0111,deontology
pilot_0112,deontology
pilot_0113,deontology
pilot_0114,deontology
pilot_0115,deontology
pilot_0116,deontology
pilot_0117,deontology
pilot_0118,deontology
pilot_0119,deontology
pilot_0120,deontology
pilot_0121,deontology
pilot_0122,deontology
pilot_0123,deontology
pilot_0124,deontology
pilot_0125,deontology
pilot_0126,deontology
pilot_0127,deontology
pilot_0128,deontology
pilot_0129,deontology
pilot_0130,deontology
pilot_0131,deontology
pilot_0132,deontology
pilot_0133,deontology
pilot_0134,deontology
pilot_0135,deontology
pilot_0136,deontology
pilot_0137,deontology
pilot_0138,deontology
pilot_0139,deontology
pilot_0140,deontology
pilot_0141,deontology
pilot_0142,deontology
pilot_0143,deontology
pilot_0144,deontology
pilot_0145,deontology
pilot_0146,deontology
pilot_0147,deontology
pilot_0148,deontology
pilot_0149,deontology
pilot_0150,deontology
pilot_0151,deontology
pilot_0152,deontology
pilot_0153,deontology
pilot_0154,deontology
pilot_0155,deontology
pilot_0156,deontology
pilot_0157,deontology
pilot_0158,deontology
pilot_0159,deontology
pilot_0160,deontology
pilot_0161,deontology
pilot_0162,deontology
pilot_0163,deontology
pilot_0164,deontology
pilot_0165,deontology
pilot_0166,deontology
pilot_0167,deontology
pilot_0168,deontology
pilot_0169,deontology
pilot_0170,deontology
pilot_0171,deontology
pilot_0172,deontology
pilot_0173,deontology
pilot_0174,deontology
pilot_0175,deontology
pilot_0176,deontology
pilot_0177,deontology
pilot_0178,deontology
pilot_0179,deontology
pilot_0180,deontology
pilot_0181,deontology
pilot_0182,deontology
pilot_0183,deontology
pilot_0184,deontology
pilot_0185,deontology
pilot_0186,deontology
pilot_0187,deontology
pilot_0188,deontology
pilot_0189,deontology
pilot_0190,deontology
pilot_0191,deontology
pilot_0192,deontology
pilot_0193,deontology
pilot_0194,deontology
pilot_0195,deontology
pilot_0196,deontology
pilot_0197,deontology
pilot_0198,deontology
pilot_0199,deontology
pilot_0200,justice
pilot_0201,justice
pilot_0202,justice
pilot_0203,justice
pilot_0204,justice
pilot_0205,justice
pilot_0206,justice
pilot_0207,justice
pilot_0208,justice
pilot_0209,justice
pilot_0210,justice
pilot_0211,justice
pilot_0212,justice
pilot_0213,justice
pilot_0214,justice
pilot_0215,justice
pilot_0216,justice
pilot_0217,justice
pilot_0218,justice
pilot_0219,justice
pilot_0220,justice
pilot_0221,justice
pilot_0222,justice
pilot_0223,justice
pilot_0224,justice
pilot_0225,justice
pilot_0226,justice
pilot_0227,justice
pilot_0228,justice
pilot_0229,justice
pilot_0230,justice
pilot_0231,justice
pilot_0232,justice
pilot_0233,justice
pilot_0234,justice
pilot_0235,justice
pilot_0236,justice
pilot_0237,justice
pilot_0238,justice
pilot_0239,justice
pilot_0240,justice
pilot_0241,justice
pilot_0242,justice
pilot_0243,justice
pilot_0244,justice
pilot_0245,justice
pilot_0246,justice
pilot_0247,justice
pilot_0248,justice
pilot_0249,justice
pilot_0250,justice
pilot_0251,justice
pilot_0252,justice
pilot_0253,justice
pilot_0254,justice
pilot_0255,justice
pilot_0256,justice
pilot_0257,justice
pilot_0258,justice
pilot_0259,justice
pilot_0260,justice
pilot_0261,justice
pilot_0262,justice
pilot_0263,justice
pilot_0264,justice
pilot_0265,justice
pilot_0266,justice
pilot_0267,justice
pilot_0268,justice
pilot_0269,justice
pilot_0270,justice
pilot_0271,justice
pilot_0272,justice
pilot_0273,justice
pilot_0274,justice
pilot_0275,justice
pilot_0276,justice
pilot_0277,justice
pilot_0278,justice
pilot_0279,justice
pilot_0280,justice
pilot_0281,justice
pilot_0282,justice
pilot_0283,justice
pilot_0284,justice
pilot_0285,justice
pilot_0286,justice
pilot_0287,justice
pilot_0288,justice
pilot_0289,justice
pilot_0290,justice
pilot_0291,justice
pilot_0292,justice
pilot_0293,justice
pilot_0294,justice
pilot_0295,justice
pilot_0296,justice
pilot_0297,justice
pilot_0298,justice
pilot_0299,justice
pilot_0300,utilitarianism
pilot_0301,utilitarianism
pilot_0302,utilitarianism
pilot_0303,utilitarianism
pilot_0304,utilitarianism
pilot_0305,utilitarianism
pilot_0306,utilitarianism
pilot_0307,utilitarianism
pilot_0308,utilitarianism
pilot_0309,utilitarianism
pilot_0310,utilitarianism
pilot_0311,utilitarianism
pilot_0312,utilitarianism
pilot_0313,utilitarianism
pilot_0314,utilitarianism
pilot_0315,utilitarianism
pilot_0316,utilitarianism
pilot_0317,utilitarianism
pilot_0318,utilitarianism
pilot_0319,utilitarianism
pilot_0320,utilitarianism
pilot_0321,utilitarianism
pilot_0322,utilitarianism
pilot_0323,utilitarianism
pilot_0324,utilitarianism
pilot_0325,utilitarianism
pilot_0326,utilitarianism
pilot_0327,utilitarianism
pilot_0328,utilitarianism
pilot_0329,utilitarianism
pilot_0330,utilitarianism
pilot_0331,utilitarianism
pilot_0332,utilitarianism
pilot_0333,utilitarianism
pilot_0334,utilitarianism
pilot_0335,utilitarianism
pilot_0336,utilitarianism
pilot_0337,utilitarianism
pilot_0338,utilitarianism
pilot_0339,utilitarianism
pilot_0340,utilitarianism
pilot_0341,utilitarianism
pilot_0342,utilitarianism
pilot_0343,utilitarianism
pilot_0344,utilitarianism
pilot_0345,utilitarianism
pilot_0346,utilitarianism
pilot_0347,utilitarianism
pilot_0348,utilitarianism
pilot_0349,utilitarianism
pilot_0350,utilitarianism
pilot_0351,utilitarianism
pilot_0352,utilitarianism
pilot_0353,utilitarianism
pilot_0354,utilitarianism
pilot_0355,utilitarianism
pilot_0356,utilitarianism
pilot_0357,utilitarianism
pilot_0358,utilitarianism
pilot_0359,utilitarianism
pilot_0360,utilitarianism
pilot_0361,utilitarianism
pilot_0362,utilitarianism
pilot_0363,utilitarianism
pilot_0364,utilitarianism
pilot_0365,utilitarianism
pilot_0366,utilitarianism
pilot_0367,utilitarianism
pilot_0368,utilitarianism
pilot_0369,utilitarianism
pilot_0370,utilitarianism
