model,dataset,num_steps,final_morality,accuracy,n_samples
gpt-4o,ethics,3,87.85714285714286,0.0,7
gpt-4o,ethics,4,80.17241379310344,57.47126436781609,87
gpt-4o,ethics,5,79.16666666666667,83.33333333333334,6
gpt-5,ethics,4,84.0,0.0,10
gpt-5,ethics,5,83.7719298245614,45.614035087719294,57
gpt-5,ethics,6,78.8,72.0,25
gpt-5,ethics,7,74.375,62.5,8
o3-mini,ethics,3,85.85365853658537,34.146341463414636,41
o3-mini,ethics,4,81.49122807017544,66.66666666666666,57
gpt-4o-mini,ethics,4,81.02564102564102,60.256410256410255,78
gpt-4o-mini,ethics,5,79.54545454545455,63.63636363636363,22
gpt-5-mini,ethics,4,86.57894736842105,42.10526315789473,38
gpt-5-mini,ethics,5,80.08064516129032,72.58064516129032,62
o4-mini,ethics,4,86.60493827160494,59.25925925925925,81
o4-mini,ethics,5,81.94444444444444,66.66666666666666,18
gpt-4o,moral_stories,3,90.0,100.0,4
gpt-4o,moral_stories,4,91.45833333333333,100.0,96
gpt-5,moral_stories,4,84.72222222222223,100.0,18
gpt-5,moral_stories,5,91.015625,100.0,64
gpt-5,moral_stories,6,90.55555555555556,100.0,18
o3-mini,moral_stories,3,90.0,100.0,40
o3-mini,moral_stories,4,89.3859649122807,100.0,57
o3-mini,moral_stories,5,85.0,100.0,3
gpt-4o-mini,moral_stories,4,88.83838383838383,100.0,99
gpt-5-mini,moral_stories,4,90.73170731707317,100.0,41
gpt-5-mini,moral_stories,5,89.0677966101695,100.0,59
o4-mini,moral_stories,4,80.5,100.0,60
o4-mini,moral_stories,5,89.375,100.0,40
gpt-4o,social_chem_101,3,88.33333333333333,100.0,3
gpt-4o,social_chem_101,4,82.98969072164948,28.865979381443296,97
gpt-5,social_chem_101,4,85.0,44.44444444444444,9
gpt-5,social_chem_101,5,88.06666666666666,30.666666666666664,75
gpt-5,social_chem_101,6,84.61538461538461,15.384615384615385,13
o3-mini,social_chem_101,3,86.22448979591837,36.734693877551024,49
o3-mini,social_chem_101,4,84.1,24.0,50
gpt-4o-mini,social_chem_101,4,84.15730337078652,31.46067415730337,89
gpt-4o-mini,social_chem_101,5,84.0909090909091,27.27272727272727,11
gpt-5-mini,social_chem_101,4,87.6829268292683,43.90243902439025,41
gpt-5-mini,social_chem_101,5,86.01694915254237,23.728813559322035,59
o4-mini,social_chem_101,4,85.05747126436782,29.88505747126437,87
o4-mini,social_chem_101,5,80.55555555555556,33.33333333333333,9
